lon,lat,ROUTE_NUMBER,DIRECTION,BUS_STOP_ORDER_NUM,BUS_STOP_NUM_1,Current_Stop,BUS_STOP_SUB_NUM_2,BUS_STOP_NUM_2,Next_Stop,PLANNED_ROAD,REAL_ROAD,DELAY,VEHICLE_NUMBER,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds
21.2412,48.99195,29,P,9,531,Okružná,1,114,Grešova,500,159,-151,397,1612438392965,4,12,33,12
21.24125,48.99221,23,P,2,2,Na Hlavnej,1,531,Okružná,800,630,81,378,1612468329318,4,20,52,9
21.2414,48.9921,23,P,2,2,Na Hlavnej,1,531,Okružná,800,630,4,386,1612099082050,31,14,18,2
21.24125,48.99217,23,P,2,2,Na Hlavnej,1,531,Okružná,800,644,-3,386,1612106299093,31,16,18,19
21.24119,48.992,29,P,9,531,Okružná,1,114,Grešova,500,154,-69,392,1612092704619,31,12,31,44
21.24112,48.99209,29,P,9,531,Okružná,1,114,Grešova,500,127,115,400,1612096110789,31,13,28,30
21.2412,48.99196,29,P,9,531,Okružná,1,114,Grešova,500,159,89,392,1612099742351,31,14,29,2
21.24117,48.99199,29,P,9,531,Okružná,1,114,Grešova,500,154,-2,400,1612103434000,31,15,30,34
21.24108,48.9921,29,P,9,531,Okružná,1,114,Grešova,500,145,-28,397,1612158185175,1,6,43,5
21.24106,48.99225,29,P,9,531,Okružná,1,114,Grešova,500,136,-30,397,1612168269005,1,9,31,9
21.24123,48.99198,29,P,9,531,Okružná,1,114,Grešova,500,163,-49,397,1612171900368,1,10,31,40
21.24103,48.99222,29,P,9,531,Okružná,1,114,Grešova,500,136,-102,397,1612164742862,1,8,32,22
21.24144,48.99196,29,P,9,531,Okružná,1,114,Grešova,500,181,-34,397,1612168284012,1,9,31,24
21.241,48.99241,29,P,9,531,Okružná,1,114,Grešova,500,113,-88,397,1612161846657,1,7,44,6
21.24128,48.99218,23,P,2,2,Na Hlavnej,1,531,Okružná,800,658,-55,365,1612161261425,1,7,34,21
21.2412,48.992,29,P,9,531,Okružná,1,114,Grešova,500,154,16,400,1612110620540,31,17,30,20
21.24129,48.99215,23,P,2,2,Na Hlavnej,1,531,Okružná,800,644,-50,386,1612120764436,31,20,19,24
21.24115,48.9921,29,P,9,531,Okružná,1,114,Grešova,500,145,-53,357,1612244595193,2,6,43,15
21.24149,48.992,29,P,9,531,Okružná,1,114,Grešova,500,181,-59,357,1612244610195,2,6,43,30
21.24113,48.99203,29,P,9,531,Okružná,1,114,Grešova,500,150,-37,357,1612248180269,2,7,43,0
21.24135,48.99198,29,P,9,531,Okružná,1,114,Grešova,500,168,-32,357,1612258260579,2,10,31,0
21.24112,48.99226,23,P,2,2,Na Hlavnej,1,531,Okružná,800,630,-40,405,1612240425088,2,5,33,45
21.24122,48.99202,29,P,9,531,Okružná,1,114,Grešova,500,159,61,357,1612254570449,2,9,29,30
21.2415,48.99208,23,P,2,2,Na Hlavnej,1,531,Okružná,800,592,-110,405,1612254900458,2,9,35,0
