lon,lat,Nazov,DELAY,Current_Stop,From,Destination,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds
21.22393,48.85288,Os 8512 ,0,Kysak,Košice,Prešov,1611828588321,28,11,9,48
20.56151,48.95041,Os 7810 ,840,Spišská Nová Ves,Košice,Poprad-Tatry,1611828588321,28,11,9,48
21.32044,49.04386,Os 9115 ,0,Kapušany pri Prešove,Prešov,Humenné,1611828588321,28,11,9,48
20.56151,48.95041,Os 7810 ,840,Spišská Nová Ves,Košice,Poprad-Tatry,1611828603277,28,11,10,3
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828603277,28,11,10,3
21.22393,48.85288,Os 8512 ,0,Kysak,Košice,Prešov,1611828603277,28,11,10,3
21.32044,49.04386,Os 9115 ,0,Kapušany pri Prešove,Prešov,Humenné,1611828603277,28,11,10,3
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828618327,28,11,10,18
21.22393,48.85288,Os 8512 ,0,Kysak,Košice,Prešov,1611828618327,28,11,10,18
20.56151,48.95041,Os 7810 ,840,Spišská Nová Ves,Košice,Poprad-Tatry,1611828618327,28,11,10,18
21.32044,49.04386,Os 9115 ,0,Kapušany pri Prešove,Prešov,Humenné,1611828618327,28,11,10,18
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828633292,28,11,10,33
21.22393,48.85288,Os 8512 ,0,Kysak,Košice,Prešov,1611828633292,28,11,10,33
20.56151,48.95041,Os 7810 ,840,Spišská Nová Ves,Košice,Poprad-Tatry,1611828633292,28,11,10,33
21.32044,49.04386,Os 9115 ,0,Kapušany pri Prešove,Prešov,Humenné,1611828633292,28,11,10,33
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828648375,28,11,10,48
20.56151,48.95041,Os 7810 ,840,Spišská Nová Ves,Košice,Poprad-Tatry,1611828648375,28,11,10,48
21.22393,48.85288,Os 8512 ,0,Kysak,Košice,Prešov,1611828648375,28,11,10,48
21.32044,49.04386,Os 9115 ,0,Kapušany pri Prešove,Prešov,Humenné,1611828648375,28,11,10,48
21.31413,49.14945,Os 9213 ,0,Raslavice,Prešov,Bardejov,1611828648375,28,11,10,48
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828738408,28,11,12,18
20.56151,48.95041,Os 7810 ,840,Spišská Nová Ves,Košice,Poprad-Tatry,1611828738408,28,11,12,18
21.32044,49.04386,Os 9112 ,0,Kapušany pri Prešove,Humenné,Prešov,1611828738408,28,11,12,18
21.32044,49.04386,Os 9115 ,0,Kapušany pri Prešove,Prešov,Humenné,1611828738408,28,11,12,18
21.31413,49.14945,Os 9213 ,0,Raslavice,Prešov,Bardejov,1611828738408,28,11,12,18
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828768403,28,11,12,48
21.32044,49.04386,Os 9115 ,0,Kapušany pri Prešove,Prešov,Humenné,1611828768403,28,11,12,48
21.31413,49.14945,Os 9213 ,0,Raslavice,Prešov,Bardejov,1611828768403,28,11,12,48
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828783370,28,11,13,3
21.31413,49.14945,Os 9213 ,0,Raslavice,Prešov,Bardejov,1611828783370,28,11,13,3
21.32044,49.04386,Os 9115 ,0,Kapušany pri Prešove,Prešov,Humenné,1611828783370,28,11,13,3
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828798415,28,11,13,18
21.31413,49.14945,Os 9213 ,0,Raslavice,Prešov,Bardejov,1611828798415,28,11,13,18
21.32044,49.04386,Os 9115 ,0,Kapušany pri Prešove,Prešov,Humenné,1611828798415,28,11,13,18
22.05519,48.95489,Os 9414 ,0,Dlhé nad Cirochou,Stakčín,Humenné,1611828798415,28,11,13,18
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828858419,28,11,14,18
21.241086,48.873332,Os 8512 ,0,Ličartovce,Košice,Prešov,1611828858419,28,11,14,18
21.32044,49.04386,Os 9115 ,0,Kapušany pri Prešove,Prešov,Humenné,1611828858419,28,11,14,18
22.05519,48.95489,Os 9414 ,0,Dlhé nad Cirochou,Stakčín,Humenné,1611828858419,28,11,14,18
21.31413,49.14945,Os 9213 ,0,Raslavice,Prešov,Bardejov,1611828858419,28,11,14,18
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828888425,28,11,14,48
21.241086,48.873332,Os 8512 ,0,Ličartovce,Košice,Prešov,1611828888425,28,11,14,48
22.05519,48.95489,Os 9414 ,0,Dlhé nad Cirochou,Stakčín,Humenné,1611828888425,28,11,14,48
21.31413,49.14945,Os 9213 ,0,Raslavice,Prešov,Bardejov,1611828888425,28,11,14,48
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828918423,28,11,15,18
21.241086,48.873332,Os 8512 ,0,Ličartovce,Košice,Prešov,1611828918423,28,11,15,18
21.95465,49.05145,Os 8915 ,0,Koškovce,Humenné,Medzilaborce mesto,1611828918423,28,11,15,18
22.05519,48.95489,Os 9414 ,0,Dlhé nad Cirochou,Stakčín,Humenné,1611828918423,28,11,15,18
21.31413,49.14945,Os 9213 ,0,Raslavice,Prešov,Bardejov,1611828918423,28,11,15,18
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611828948432,28,11,15,48
21.241086,48.873332,Os 8512 ,0,Ličartovce,Košice,Prešov,1611828948432,28,11,15,48
21.95465,49.05145,Os 8915 ,0,Koškovce,Humenné,Medzilaborce mesto,1611828948432,28,11,15,48
22.05519,48.95489,Os 9414 ,0,Dlhé nad Cirochou,Stakčín,Humenné,1611828948432,28,11,15,48
21.31413,49.14945,Os 9213 ,0,Raslavice,Prešov,Bardejov,1611828948432,28,11,15,48
22.05519,48.95489,Os 9415 ,0,Dlhé nad Cirochou,Humenné,Stakčín,1611828948432,28,11,15,48
21.241086,48.873332,Os 8512 ,0,Ličartovce,Košice,Prešov,1611829008474,28,11,16,48
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611829008474,28,11,16,48
21.95465,49.05145,Os 8915 ,0,Koškovce,Humenné,Medzilaborce mesto,1611829008474,28,11,16,48
22.05519,48.95489,Os 9414 ,0,Dlhé nad Cirochou,Stakčín,Humenné,1611829008474,28,11,16,48
22.05519,48.95489,Os 9415 ,0,Dlhé nad Cirochou,Humenné,Stakčín,1611829008474,28,11,16,48
21.241086,48.873332,Os 8512 ,0,Ličartovce,Košice,Prešov,1611829068465,28,11,17,48
20.72323,48.8055,Os 7415 ,0,Švedlár,Nálepkovo,Margecany,1611829068465,28,11,17,48
21.95465,49.05145,Os 8915 ,0,Koškovce,Humenné,Medzilaborce mesto,1611829068465,28,11,17,48
22.05519,48.95489,Os 9415 ,0,Dlhé nad Cirochou,Humenné,Stakčín,1611829068465,28,11,17,48
22.05519,48.95489,Os 9414 ,0,Dlhé nad Cirochou,Stakčín,Humenné,1611829068465,28,11,17,48
21.241086,48.873332,Os 8512 ,0,Ličartovce,Košice,Prešov,1611829083466,28,11,18,3
