lon,lat,ROUTE_NUMBER,Trip,TripTime,vehicleID,lastStopOrder,lineID,lineType,DELAY,Current_Stop,Current_Stop_ID,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds,destination,Dir
20.97487,49.03962,707421,41,900,1007803594,22,1007040405,2,73,"Štefanovce, OcÚ",590,1614091452423,23,15,44,12,"Lipovce, nám.",1
21.27085,49.0829,707438,25,915,1007803860,14,1007040413,2,-118,"Záhradné, PD",14,1614091452423,23,15,44,12,Veľký Slivník,1
21.2525,48.9964,701412,21,890,1007802575,40,1007040360,2,-83,"Prešov,Nemocnica J.A.Reimana",2355,1614091467417,23,15,44,27,"Košice, AS",1
21.33154,49.01197,707452,14,940,1007804099,3,1007040421,2,-38,"Vyšná Šebastová, PD ",885,1614091467417,23,15,44,27,"Prešov, AS",0
21.09048,49.10381,708403,8,905,1007804189,17,1007040431,2,-256,"Sabinov,,AS",2316,1614091467417,23,15,44,27,"Lipany, AS",0
20.91033,49.1709,707431,13,865,1007803726,32,1007040408,2,53,"Krivany,potraviny",2157,1614091482442,23,15,44,42,"Tichý Potok, Javorina",1
21.09048,49.10381,708403,8,905,1007804189,17,1007040431,2,-256,"Sabinov,,AS",2316,1614091497435,23,15,44,57,"Lipany, AS",0
21.08976,49.10377,708403,8,905,1007804189,17,1007040431,2,-284,"Sabinov,,AS",2316,1614091512422,23,15,45,12,"Lipany, AS",0
21.51186,49.1188,701404,60,940,1007802358,3,1007040356,2,-56,"Giraltovce, Budovateľská č.183",1462,1614091527445,23,15,45,27,"Bardejov, AS",0
21.27085,49.0829,707438,25,915,1007803860,14,1007040413,2,-118,"Záhradné, PD",14,1614091527445,23,15,45,27,Veľký Slivník,1
21.25799,49.0109,707447,150,910,1007804050,52,1007040418,2,22,"Ľubotice, Dopravný podnik ",2897,1614091542438,23,15,45,42,"Prešov, AS",0
21.08976,49.10377,708403,8,905,1007804189,17,1007040431,2,-284,"Sabinov,,AS",2316,1614091542438,23,15,45,42,"Lipany, AS",0
21.55327,49.18156,712452,28,935,1007804938,8,1007040458,2,-3,"Okrúhle, rázc. Šapinec ",1677,1614091542438,23,15,45,42,"Giraltovce, AS",0
21.45963,49.10252,712459,7,905,1007805018,18,1007040461,2,100,"Kuková, rázc.",359,1614091542438,23,15,45,42,"Giraltovce, AS",1
21.33351,48.94491,707403,29,925,1007803124,9,1007040396,2,-11,"Kokošovce, rázc. Abranovce ",1052,1614091557429,23,15,45,57,"Červenica, hor.koniec",1
21.01891,49.02493,707421,25,910,1007803576,17,1007040405,2,116,"Bertotovce, nám.",563,1614091557429,23,15,45,57,"Víťaz, remeselný dom",1
21.32578,49.01488,707452,14,940,1007804099,4,1007040421,2,38,"Vyšná Šebastová, OcÚ ",896,1614091557429,23,15,45,57,"Prešov, AS",0
21.25123,48.98465,707431,61,950,1007803732,1,1007040408,2,0,"Prešov,,AS ",2361,1614091602427,23,15,46,42,"Sabinov, AS",1
21.04309,49.12477,708468,30,927,1007804679,16,1007040441,2,223,"Pečovská Nová Ves, nám.",230,1614091602427,23,15,46,42,"Sabinov, AS",0
21.25122,48.98532,707408,7,950,1007803235,1,1007040399,2,0,"Prešov,,AS ",2361,1614091617424,23,15,46,57,"Košice, AS",1
21.23562,48.98981,707418,38,930,1007803423,22,1007040403,2,-77,"Prešov,,ul.17.novembra",2357,1614091617424,23,15,46,57,"Prešov, AS",0
20.88989,49.16548,707431,13,865,1007803726,33,1007040408,2,127,"Torysa,,rázc.Oľšov",2601,1614091617424,23,15,46,57,"Tichý Potok, Javorina",1
21.47066,49.10137,712459,7,905,1007805018,43,1007040461,2,67,Lúčka rázc.,360,1614091617424,23,15,46,57,"Giraltovce, AS",1
21.27932,49.29325,701412,210,840,1007802569,37,1007040360,2,22,"Bardejov, Krátky rad ",1164,1614091632434,23,15,47,12,"Bardejov, AS",0
21.08977,49.10377,708403,8,905,1007804189,17,1007040431,2,-164,"Sabinov,,AS",2316,1614091632434,23,15,47,12,"Lipany, AS",0
20.95403,49.13721,708404,125,940,1007804349,6,1007040432,2,24,"Dubovica,pož.zbroj.",1917,1614091632434,23,15,47,12,"Lipany, AS",1
21.04309,49.12477,708468,30,927,1007804679,16,1007040441,2,223,"Pečovská Nová Ves, nám.",230,1614091632434,23,15,47,12,"Sabinov, AS",0
21.25094,48.98513,707408,7,950,1007803235,1,1007040399,2,-315,"Prešov,,AS ",2361,1614091647421,23,15,47,27,"Košice, AS",1
21.07872,49.00322,707421,28,925,1007803549,30,1007040405,2,-10,"Chminianska Nová Ves, most",581,1614091647421,23,15,47,27,"Prešov, AS",0
21.12873,49.31809,701420,12,930,1007802788,34,1007040365,2,8,"Kružľov, Kruž. H., rázc. nástupište 4",999,1614091662420,23,15,47,42,"Bardejov, AS",0
21.25094,48.98513,707408,7,950,1007803235,1,1007040399,2,-315,"Prešov,,AS ",2361,1614091662420,23,15,47,42,"Košice, AS",1
21.25125,48.98463,707431,61,950,1007803732,1,1007040408,2,-313,"Prešov,,AS ",2361,1614091662420,23,15,47,42,"Sabinov, AS",1
21.05594,49.05742,707424,109,910,1007803648,18,1007040406,2,-68,"Jarovnice, rázc. Daletice",533,1614091662420,23,15,47,42,"Renčišov, konečná",1
21.19708,49.11205,708453,16,950,1007804489,17,1007040436,2,-295,Ratvaj,77,1614091662420,23,15,47,42,"Sabinov, AS",0
21.2762,49.19617,701414,100,945,1007802631,19,1007040361,2,47,"Bartošovce, OcÚ",305,1614091677414,23,15,47,57,"Bardejov, AS",0
21.23562,48.98981,707418,38,930,1007803423,22,1007040403,2,-17,"Prešov,,ul.17.novembra",2357,1614091677414,23,15,47,57,"Prešov, AS",0
21.00125,49.02208,707421,25,910,1007803576,18,1007040405,2,105,"Hendrichovce, OcÚ",584,1614091677414,23,15,47,57,"Víťaz, remeselný dom",1
20.95403,49.13721,708404,125,940,1007804349,6,1007040432,2,24,"Dubovica,pož.zbroj.",1917,1614091677414,23,15,47,57,"Lipany, AS",1
21.3915,49.09485,707444,127,910,1007803980,18,1007040415,2,117,Proč ,905,1614091692433,23,15,48,12,"Pušovce, rázc.Čelovce",1
20.95403,49.13721,708404,125,940,1007804349,6,1007040432,2,24,"Dubovica,pož.zbroj.",1917,1614091692433,23,15,48,12,"Lipany, AS",1
21.23561,48.98981,707418,38,930,1007803423,22,1007040403,2,43,"Prešov,,ul.17.novembra",2357,1614091722456,23,15,48,42,"Prešov, AS",0
21.3915,49.09485,707444,127,910,1007803980,18,1007040415,2,117,Proč ,905,1614091722456,23,15,48,42,"Pušovce, rázc.Čelovce",1
21.08977,49.10377,708403,8,905,1007804189,17,1007040431,2,-104,"Sabinov,,AS",2316,1614091722456,23,15,48,42,"Lipany, AS",0
21.28187,49.29739,701404,67,950,1007802385,1,1007040356,2,-242,"Bardejov, AS pred žel.st.",2036,1614091737458,23,15,48,57,"Giraltovce, AS",1
21.34835,48.86868,707405,76,950,1007803147,18,1007040397,2,-315,"Brestov, OcÚ ",1108,1614091737458,23,15,48,57,"Prešov, AS",0
21.3641,49.0445,707442,73,910,1007803922,19,1007040414,2,-1,"Lada,  rázc. Šariš. Poruba ",856,1614091737458,23,15,48,57,"Prešov, AS",1
21.3915,49.09485,707444,127,910,1007803980,18,1007040415,2,117,Proč ,905,1614091737458,23,15,48,57,"Pušovce, rázc.Čelovce",1
21.28187,49.29739,701404,67,950,1007802385,1,1007040356,2,-242,"Bardejov, AS pred žel.st.",2036,1614091767446,23,15,49,27,"Giraltovce, AS",1
21.08977,49.10377,708403,8,905,1007804189,17,1007040431,2,-44,"Sabinov,,AS",2316,1614091797411,23,15,49,57,"Lipany, AS",0
21.19707,49.11205,708453,16,950,1007804489,17,1007040436,2,-115,Ratvaj,77,1614091797411,23,15,49,57,"Sabinov, AS",0
21.05939,49.11877,708468,30,927,1007804679,19,1007040441,2,304,"Sabinov, ZŤS",235,1614091797411,23,15,49,57,"Sabinov, AS",0
