lon,lat,ROUTE_NUMBER,DIRECTION,BUS_STOP_ORDER_NUM,BUS_STOP_NUM_1,Current_Stop,BUS_STOP_SUB_NUM_2,BUS_STOP_NUM_2,Next_Stop,PLANNED_ROAD,REAL_ROAD,DELAY,VEHICLE_NUMBER,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds
21.24452,48.99298,19,P,5,120,Moyzesova,1,3,Veľká pošta,720,474,25,399,1614944145447,5,12,35,45
21.24452,48.99298,19,P,5,120,Moyzesova,1,3,Veľká pošta,720,474,10,399,1614944160455,5,12,36,0
21.23632,48.98917,2,P,10,25,Škultétyho,0,199,Prešovská univerzita,766,626,68,737,1614944190470,5,12,36,30
21.24452,48.99277,1,T,7,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,385,-107,738,1614944310531,5,12,38,30
21.23833,48.9911,12,P,17,184,Gym.sv.Moniky,1,185,Kúpeľná,469,469,-9,385,1614944430595,5,12,40,30
21.24415,48.99309,28,P,14,2,Na Hlavnej,1,3,Veľká pošta,555,383,-61,376,1614944430595,5,12,40,30
21.24498,48.99218,4,T,9,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,314,-55,742,1614944490590,5,12,41,30
21.24453,48.99278,4,T,9,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,381,-80,742,1614944520606,5,12,42,0
21.24429,48.99307,4,T,9,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,414,-86,742,1614944535622,5,12,42,15
21.24473,48.99242,12,P,19,186,Pavlovičovo nám.,0,205,Divadlo Jonáša Záborského,739,604,35,385,1614944580638,5,12,43,0
21.24287,48.99481,4,T,10,205,Divadlo Jonáša Záborského,0,2,Na Hlavnej,290,185,-75,742,1614944580638,5,12,43,0
21.24176,48.98662,38,T,8,35,Železničná stanica,0,25,Škultétyho,990,990,10,725,1614944595638,5,12,43,15
21.24468,48.99247,12,P,19,186,Pavlovičovo nám.,0,205,Divadlo Jonáša Záborského,739,608,22,385,1614944595638,5,12,43,15
21.24452,48.99275,2,T,5,4,Čierny most,0,205,Divadlo Jonáša Záborského,461,364,-103,739,1614944670697,5,12,44,30
21.24407,48.99328,12,P,19,186,Pavlovičovo nám.,0,205,Divadlo Jonáša Záborského,739,739,-8,385,1614944670697,5,12,44,30
21.24351,48.99388,4,P,10,2,Na Hlavnej,1,3,Veľká pošta,555,282,-32,731,1614944805727,5,12,46,45
21.23561,48.98986,38,P,9,198,Duchnovičovo nám.,1,199,Prešovská univerzita,441,441,3,726,1614944895771,5,12,48,15
21.24299,48.98536,7,T,3,23,Priemyselné centrum,0,24,Štúrova,462,378,-1,733,1614944940793,5,12,49,0
21.23744,48.98775,38,P,10,199,Prešovská univerzita,1,25,Škultétyho,706,275,3,726,1614944940793,5,12,49,0
21.24286,48.98619,7,T,4,24,Štúrova,0,4,Čierny most,650,17,-11,733,1614944970785,5,12,49,30
21.24342,48.99398,5,P,4,2,Na Hlavnej,1,3,Veľká pošta,555,272,-18,737,1614944970785,5,12,49,30
21.2429,48.99459,1,P,9,2,Na Hlavnej,1,3,Veľká pošta,555,176,-55,734,1614944985785,5,12,49,45
